"item1","item2","r","group1","group2","within_construct","p"
"P301","SUS_7",0.21457333025394,"Cognitive_value","SUS",FALSE,NA
"P301","SUS_8",0.0915574281762142,"Cognitive_value","SUS",FALSE,NA
"P301","SUS_9",0.357128119735717,"Cognitive_value","SUS",FALSE,NA
"P301","SUS_10",0.111881740917507,"Cognitive_value","SUS",FALSE,NA
"P060","SUS_1",0.462653214840143,"Cognitive_value","SUS",FALSE,NA
"P060","SUS_2",0.318515828356848,"Cognitive_value","SUS",FALSE,NA
"P060","SUS_3",0.333292906550703,"Cognitive_value","SUS",FALSE,NA
"P060","SUS_4",0.146495523325777,"Cognitive_value","SUS",FALSE,NA
"P060","SUS_5",0.206296166686752,"Cognitive_value","SUS",FALSE,NA
"P060","SUS_6",0.126606143113469,"Cognitive_value","SUS",FALSE,NA
"P060","SUS_7",0.18860558528234,"Cognitive_value","SUS",FALSE,NA
"P060","SUS_8",0.115904165700004,"Cognitive_value","SUS",FALSE,NA
"P060","SUS_9",0.362673615114599,"Cognitive_value","SUS",FALSE,NA
"P060","SUS_10",0.181823984015373,"Cognitive_value","SUS",FALSE,NA
"P027","SUS_1",0.504020969624642,"Cognitive_value","SUS",FALSE,NA
"P027","SUS_2",0.418168713261748,"Cognitive_value","SUS",FALSE,NA
"P027","SUS_3",0.383545020247849,"Cognitive_value","SUS",FALSE,NA
"P027","SUS_4",0.201650811923266,"Cognitive_value","SUS",FALSE,NA
"P027","SUS_5",0.378972326928286,"Cognitive_value","SUS",FALSE,NA
"P027","SUS_6",0.321152147095726,"Cognitive_value","SUS",FALSE,NA
"P027","SUS_7",0.280916285106885,"Cognitive_value","SUS",FALSE,NA
"P027","SUS_8",0.171096045951068,"Cognitive_value","SUS",FALSE,NA
"P027","SUS_9",0.373818916037991,"Cognitive_value","SUS",FALSE,NA
"P027","SUS_10",0.117904118334343,"Cognitive_value","SUS",FALSE,NA
"P064","UEQ_5",0.474729773582501,"Cognitive_value","UEQ_hedonic",FALSE,NA
"P064","UEQ_6",0.531936998847379,"Cognitive_value","UEQ_hedonic",FALSE,NA
"P064","UEQ_7",0.397332409778466,"Cognitive_value","UEQ_hedonic",FALSE,NA
"P064","UEQ_8",0.421621901468687,"Cognitive_value","UEQ_hedonic",FALSE,NA
"P301","UEQ_5",0.363872369481747,"Cognitive_value","UEQ_hedonic",FALSE,NA
"P301","UEQ_6",0.27238832088858,"Cognitive_value","UEQ_hedonic",FALSE,NA
"P301","UEQ_7",0.202153304811355,"Cognitive_value","UEQ_hedonic",FALSE,NA
"P301","UEQ_8",0.18740972626124,"Cognitive_value","UEQ_hedonic",FALSE,NA
"P060","UEQ_5",0.496019380273356,"Cognitive_value","UEQ_hedonic",FALSE,NA
"P060","UEQ_6",0.527657502918195,"Cognitive_value","UEQ_hedonic",FALSE,NA
"P060","UEQ_7",0.462226615991677,"Cognitive_value","UEQ_hedonic",FALSE,NA
"P060","UEQ_8",0.481724795927244,"Cognitive_value","UEQ_hedonic",FALSE,NA
"P027","UEQ_5",0.383413115197066,"Cognitive_value","UEQ_hedonic",FALSE,NA
"P027","UEQ_6",0.308006985985239,"Cognitive_value","UEQ_hedonic",FALSE,NA
"P027","UEQ_7",0.209388383267267,"Cognitive_value","UEQ_hedonic",FALSE,NA
"P027","UEQ_8",0.219993762571219,"Cognitive_value","UEQ_hedonic",FALSE,NA
"P064","UEQ_1",0.375986400236902,"Cognitive_value","UEQ_pragmatic",FALSE,NA
"P064","UEQ_2",0.200815530526188,"Cognitive_value","UEQ_pragmatic",FALSE,NA
"P064","UEQ_3",0.311710005099257,"Cognitive_value","UEQ_pragmatic",FALSE,NA
"P064","UEQ_4",0.243270526344934,"Cognitive_value","UEQ_pragmatic",FALSE,NA
"P301","UEQ_1",0.468296737781335,"Cognitive_value","UEQ_pragmatic",FALSE,NA
"P301","UEQ_2",0.235126566001109,"Cognitive_value","UEQ_pragmatic",FALSE,NA
"P301","UEQ_3",0.501935079762048,"Cognitive_value","UEQ_pragmatic",FALSE,NA
"P301","UEQ_4",0.333118423623543,"Cognitive_value","UEQ_pragmatic",FALSE,NA
"P060","UEQ_1",0.454368678132201,"Cognitive_value","UEQ_pragmatic",FALSE,NA
"P060","UEQ_2",0.375766901747356,"Cognitive_value","UEQ_pragmatic",FALSE,NA
"P060","UEQ_3",0.404758679100829,"Cognitive_value","UEQ_pragmatic",FALSE,NA
"P060","UEQ_4",0.429661534550109,"Cognitive_value","UEQ_pragmatic",FALSE,NA
"P027","UEQ_1",0.478915775501108,"Cognitive_value","UEQ_pragmatic",FALSE,NA
"P027","UEQ_2",0.403035563408701,"Cognitive_value","UEQ_pragmatic",FALSE,NA
"P027","UEQ_3",0.521029733365592,"Cognitive_value","UEQ_pragmatic",FALSE,NA
"P027","UEQ_4",0.393839764676023,"Cognitive_value","UEQ_pragmatic",FALSE,NA
"P064","P106",0.193991619530822,"Cognitive_value","Visualization",FALSE,NA
"P064","P089",0.326393390950556,"Cognitive_value","Visualization",FALSE,NA
"P064","P098",0.398213050097566,"Cognitive_value","Visualization",FALSE,NA
"P064","P097",0.403594689415835,"Cognitive_value","Visualization",FALSE,NA
"P064","P067",0.422794563123443,"Cognitive_value","Visualization",FALSE,NA
"P060","P106",0.176965416618531,"Cognitive_value","Visualization",FALSE,NA
"P060","P089",0.379688950038944,"Cognitive_value","Visualization",FALSE,NA
"P060","P098",0.320701625000446,"Cognitive_value","Visualization",FALSE,NA
"P060","P097",0.407146975699096,"Cognitive_value","Visualization",FALSE,NA
"P060","P067",0.376614333654385,"Cognitive_value","Visualization",FALSE,NA
"P027","P106",0.468889655651896,"Cognitive_value","Visualization",FALSE,NA
"P027","P089",0.414837770281933,"Cognitive_value","Visualization",FALSE,NA
"P027","P098",0.443396404097245,"Cognitive_value","Visualization",FALSE,NA
"P027","P097",0.478035137969444,"Cognitive_value","Visualization",FALSE,NA
"P027","P067",0.377546299261979,"Cognitive_value","Visualization",FALSE,NA
"P088","P301",0.30632758956924,"Intuitiveness","Cognitive_value",FALSE,NA
"P026","P064",0.305759102313313,"Intuitiveness","Cognitive_value",FALSE,NA
"P026","P301",0.210761192421892,"Intuitiveness","Cognitive_value",FALSE,NA
"P026","P060",0.446353072236529,"Intuitiveness","Cognitive_value",FALSE,NA
"P026","P027",0.43195862502137,"Intuitiveness","Cognitive_value",FALSE,NA
"P088","P4026A",0.692249661660237,"Intuitiveness","Intuitiveness",TRUE,NA
"P026","P088",0.811297749808711,"Intuitiveness","Intuitiveness",TRUE,NA
"P026","P4026A",0.668177468834568,"Intuitiveness","Intuitiveness",TRUE,NA
"P088","SUS_1",0.478235729773791,"Intuitiveness","SUS",FALSE,NA
"P088","SUS_2",0.535257269065837,"Intuitiveness","SUS",FALSE,NA
"P088","SUS_3",0.511174981130299,"Intuitiveness","SUS",FALSE,NA
"P088","SUS_4",0.344619049017267,"Intuitiveness","SUS",FALSE,NA
"P088","SUS_5",0.313192620251179,"Intuitiveness","SUS",FALSE,NA
"P088","SUS_6",0.261491414537687,"Intuitiveness","SUS",FALSE,NA
"P088","SUS_7",0.565640625493493,"Intuitiveness","SUS",FALSE,NA
"P088","SUS_8",0.321798970930451,"Intuitiveness","SUS",FALSE,NA
"P088","SUS_9",0.65434141970326,"Intuitiveness","SUS",FALSE,NA
"P088","SUS_10",0.374745557718035,"Intuitiveness","SUS",FALSE,NA
"P026","SUS_1",0.370057306439958,"Intuitiveness","SUS",FALSE,NA
"P026","SUS_2",0.418212632587513,"Intuitiveness","SUS",FALSE,NA
"P026","SUS_3",0.453978279016457,"Intuitiveness","SUS",FALSE,NA
"P026","SUS_4",0.194470484121884,"Intuitiveness","SUS",FALSE,NA
"P026","SUS_5",0.228296239302329,"Intuitiveness","SUS",FALSE,NA
"P026","SUS_6",0.158599288918602,"Intuitiveness","SUS",FALSE,NA
"P026","SUS_7",0.529353667334553,"Intuitiveness","SUS",FALSE,NA
"P026","SUS_8",0.267723983367365,"Intuitiveness","SUS",FALSE,NA
"P026","SUS_9",0.475280606246399,"Intuitiveness","SUS",FALSE,NA
"P026","SUS_10",0.262121436294872,"Intuitiveness","SUS",FALSE,NA
"P4026A","SUS_1",0.450313411919785,"Intuitiveness","SUS",FALSE,NA
"P4026A","SUS_2",0.400966730583522,"Intuitiveness","SUS",FALSE,NA
"P4026A","SUS_3",0.424925576099198,"Intuitiveness","SUS",FALSE,NA
"P4026A","SUS_4",0.247703185146593,"Intuitiveness","SUS",FALSE,NA
"P4026A","SUS_5",0.360043684479476,"Intuitiveness","SUS",FALSE,NA
"P4026A","SUS_6",0.26834701492501,"Intuitiveness","SUS",FALSE,NA
"P4026A","SUS_7",0.439632365007146,"Intuitiveness","SUS",FALSE,NA
"P4026A","SUS_8",0.302701935522591,"Intuitiveness","SUS",FALSE,NA
"P4026A","SUS_9",0.502077023946315,"Intuitiveness","SUS",FALSE,NA
"P4026A","SUS_10",0.206103938940074,"Intuitiveness","SUS",FALSE,NA
"P088","UEQ_5",0.386738178916859,"Intuitiveness","UEQ_hedonic",FALSE,NA
"P088","UEQ_6",0.335458974700559,"Intuitiveness","UEQ_hedonic",FALSE,NA
"P088","UEQ_7",0.270779813488146,"Intuitiveness","UEQ_hedonic",FALSE,NA
"P088","UEQ_8",0.267206202255358,"Intuitiveness","UEQ_hedonic",FALSE,NA
"P026","UEQ_5",0.349117131159137,"Intuitiveness","UEQ_hedonic",FALSE,NA
"P026","UEQ_6",0.306150476235948,"Intuitiveness","UEQ_hedonic",FALSE,NA
"P026","UEQ_7",0.283846877307718,"Intuitiveness","UEQ_hedonic",FALSE,NA
"P026","UEQ_8",0.275765095259356,"Intuitiveness","UEQ_hedonic",FALSE,NA
"P4026A","UEQ_5",0.383668828480328,"Intuitiveness","UEQ_hedonic",FALSE,NA
"P4026A","UEQ_6",0.317462260602641,"Intuitiveness","UEQ_hedonic",FALSE,NA
"P4026A","UEQ_7",0.205104249858249,"Intuitiveness","UEQ_hedonic",FALSE,NA
"P4026A","UEQ_8",0.207813650501289,"Intuitiveness","UEQ_hedonic",FALSE,NA
"P088","UEQ_1",0.527135948281172,"Intuitiveness","UEQ_pragmatic",FALSE,NA
"P088","UEQ_2",0.722916168933425,"Intuitiveness","UEQ_pragmatic",FALSE,NA
"P088","UEQ_3",0.407771769830907,"Intuitiveness","UEQ_pragmatic",FALSE,NA
"P088","UEQ_4",0.736952784799668,"Intuitiveness","UEQ_pragmatic",FALSE,NA
"P026","UEQ_1",0.459776997150899,"Intuitiveness","UEQ_pragmatic",FALSE,NA
"P026","UEQ_2",0.604993495199909,"Intuitiveness","UEQ_pragmatic",FALSE,NA
"P026","UEQ_3",0.389834151619461,"Intuitiveness","UEQ_pragmatic",FALSE,NA
"P026","UEQ_4",0.625218598651949,"Intuitiveness","UEQ_pragmatic",FALSE,NA
"P4026A","UEQ_1",0.413270010967776,"Intuitiveness","UEQ_pragmatic",FALSE,NA
"P4026A","UEQ_2",0.4895215741842,"Intuitiveness","UEQ_pragmatic",FALSE,NA
"P4026A","UEQ_3",0.397707313614941,"Intuitiveness","UEQ_pragmatic",FALSE,NA
"P4026A","UEQ_4",0.591182373132361,"Intuitiveness","UEQ_pragmatic",FALSE,NA
"P088","P106",0.323437300645801,"Intuitiveness","Visualization",FALSE,NA
"P088","P089",0.49049143669875,"Intuitiveness","Visualization",FALSE,NA
"P088","P098",0.359405395966896,"Intuitiveness","Visualization",FALSE,NA
"P088","P097",0.29235935532613,"Intuitiveness","Visualization",FALSE,NA
"P026","P106",0.261302879926799,"Intuitiveness","Visualization",FALSE,NA
"P026","P089",0.451238658882502,"Intuitiveness","Visualization",FALSE,NA
"P026","P098",0.284144014972597,"Intuitiveness","Visualization",FALSE,NA
"P026","P097",0.307006872431054,"Intuitiveness","Visualization",FALSE,NA
"P026","P067",0.382325913881972,"Intuitiveness","Visualization",FALSE,NA
"SUS_1","SUS_2",0.344455100052798,"SUS","SUS",TRUE,NA
"SUS_1","SUS_3",0.406915678096082,"SUS","SUS",TRUE,NA
"SUS_1","SUS_4",0.217045274641218,"SUS","SUS",TRUE,NA
"SUS_1","SUS_5",0.448174927343813,"SUS","SUS",TRUE,NA
"SUS_1","SUS_6",0.290842574036392,"SUS","SUS",TRUE,NA
"SUS_1","SUS_7",0.381404200854065,"SUS","SUS",TRUE,NA
"SUS_1","SUS_8",0.237603951341005,"SUS","SUS",TRUE,NA
"SUS_1","SUS_9",0.631271115145013,"SUS","SUS",TRUE,NA
"SUS_1","SUS_10",0.180495344714546,"SUS","SUS",TRUE,NA
"SUS_2","SUS_3",0.353082347074528,"SUS","SUS",TRUE,NA
"SUS_2","SUS_4",0.546085804907549,"SUS","SUS",TRUE,NA
"SUS_2","SUS_5",0.432015767425427,"SUS","SUS",TRUE,NA
"SUS_2","SUS_6",0.564230274909253,"SUS","SUS",TRUE,NA
"SUS_2","SUS_7",0.42943736114075,"SUS","SUS",TRUE,NA
"SUS_2","SUS_8",0.513699434846845,"SUS","SUS",TRUE,NA
"SUS_2","SUS_9",0.414931509485194,"SUS","SUS",TRUE,NA
"SUS_3","SUS_4",0.212144423195531,"SUS","SUS",TRUE,NA
"SUS_3","SUS_5",0.348068621210398,"SUS","SUS",TRUE,NA
"SUS_3","SUS_6",0.150655600804019,"SUS","SUS",TRUE,NA
"SUS_3","SUS_7",0.502816395967392,"SUS","SUS",TRUE,NA
"SUS_3","SUS_8",0.305339900859706,"SUS","SUS",TRUE,NA
"SUS_3","SUS_9",0.531960295122692,"SUS","SUS",TRUE,NA
"SUS_4","SUS_5",0.202741063089956,"SUS","SUS",TRUE,NA
"SUS_4","SUS_6",0.536906067278346,"SUS","SUS",TRUE,NA
"SUS_4","SUS_7",0.173289885000938,"SUS","SUS",TRUE,NA
"SUS_4","SUS_8",0.589071117012011,"SUS","SUS",TRUE,NA
"SUS_4","SUS_9",0.31172890954269,"SUS","SUS",TRUE,NA
"SUS_5","SUS_6",0.365481667916603,"SUS","SUS",TRUE,NA
"SUS_5","SUS_7",0.248157922547105,"SUS","SUS",TRUE,NA
"SUS_5","SUS_8",0.280966102525934,"SUS","SUS",TRUE,NA
"SUS_5","SUS_9",0.463500148999546,"SUS","SUS",TRUE,NA
"SUS_6","SUS_7",0.149079512407485,"SUS","SUS",TRUE,NA
"SUS_6","SUS_8",0.598574371512183,"SUS","SUS",TRUE,NA
"SUS_6","SUS_9",0.262421949350433,"SUS","SUS",TRUE,NA
"SUS_7","SUS_8",0.329934010874015,"SUS","SUS",TRUE,NA
"SUS_7","SUS_9",0.590316040972503,"SUS","SUS",TRUE,NA
"SUS_8","SUS_9",0.322513181887739,"SUS","SUS",TRUE,NA
"SUS_10","SUS_2",0.482537363050241,"SUS","SUS",TRUE,NA
"SUS_10","SUS_3",0.347612554692024,"SUS","SUS",TRUE,NA
"SUS_10","SUS_4",0.509568509048443,"SUS","SUS",TRUE,NA
"SUS_10","SUS_5",0.208113278262589,"SUS","SUS",TRUE,NA
"SUS_10","SUS_6",0.337148105868238,"SUS","SUS",TRUE,NA
"SUS_10","SUS_7",0.355336173555002,"SUS","SUS",TRUE,NA
"SUS_10","SUS_8",0.440480013370949,"SUS","SUS",TRUE,NA
"SUS_10","SUS_9",0.309762915615102,"SUS","SUS",TRUE,NA
"SUS_1","UEQ_5",0.463252565763265,"SUS","UEQ_hedonic",FALSE,NA
"SUS_1","UEQ_6",0.486779457498497,"SUS","UEQ_hedonic",FALSE,NA
"SUS_1","UEQ_7",0.33442271805512,"SUS","UEQ_hedonic",FALSE,NA
"SUS_1","UEQ_8",0.340103717230109,"SUS","UEQ_hedonic",FALSE,NA
"SUS_2","UEQ_5",0.312143755838278,"SUS","UEQ_hedonic",FALSE,NA
"SUS_2","UEQ_6",0.305160814344044,"SUS","UEQ_hedonic",FALSE,NA
"SUS_2","UEQ_7",0.176307254308696,"SUS","UEQ_hedonic",FALSE,NA
"SUS_2","UEQ_8",0.167142872995261,"SUS","UEQ_hedonic",FALSE,NA
"SUS_3","UEQ_5",0.177223624976733,"SUS","UEQ_hedonic",FALSE,NA
"SUS_3","UEQ_6",0.215998532230697,"SUS","UEQ_hedonic",FALSE,NA
"SUS_3","UEQ_7",0.251590594801742,"SUS","UEQ_hedonic",FALSE,NA
"SUS_3","UEQ_8",0.251989147150507,"SUS","UEQ_hedonic",FALSE,NA
"SUS_4","UEQ_5",0.0969317624856576,"SUS","UEQ_hedonic",FALSE,NA
"SUS_4","UEQ_6",0.0831832064775915,"SUS","UEQ_hedonic",FALSE,NA
"SUS_4","UEQ_7",-0.0455147058594673,"SUS","UEQ_hedonic",FALSE,NA
"SUS_4","UEQ_8",-0.140542159655485,"SUS","UEQ_hedonic",FALSE,NA
"SUS_5","UEQ_5",0.330580779543167,"SUS","UEQ_hedonic",FALSE,NA
"SUS_5","UEQ_6",0.238997750974356,"SUS","UEQ_hedonic",FALSE,NA
"SUS_5","UEQ_7",0.259394946561052,"SUS","UEQ_hedonic",FALSE,NA
"SUS_5","UEQ_8",0.248439943600632,"SUS","UEQ_hedonic",FALSE,NA
"SUS_6","UEQ_5",0.17433027016355,"SUS","UEQ_hedonic",FALSE,NA
"SUS_6","UEQ_6",0.177358957310846,"SUS","UEQ_hedonic",FALSE,NA
"SUS_6","UEQ_7",0.0504585421873814,"SUS","UEQ_hedonic",FALSE,NA
"SUS_6","UEQ_8",-0.00654660811098145,"SUS","UEQ_hedonic",FALSE,NA
"SUS_7","UEQ_5",0.284504577047333,"SUS","UEQ_hedonic",FALSE,NA
"SUS_7","UEQ_6",0.245349313897074,"SUS","UEQ_hedonic",FALSE,NA
"SUS_7","UEQ_7",0.245628391218536,"SUS","UEQ_hedonic",FALSE,NA
"SUS_7","UEQ_8",0.128852457251471,"SUS","UEQ_hedonic",FALSE,NA
"SUS_8","UEQ_5",0.108523198945503,"SUS","UEQ_hedonic",FALSE,NA
"SUS_8","UEQ_6",0.128971084854458,"SUS","UEQ_hedonic",FALSE,NA
"SUS_8","UEQ_7",0.110036965534243,"SUS","UEQ_hedonic",FALSE,NA
"SUS_8","UEQ_8",-0.0622772978024408,"SUS","UEQ_hedonic",FALSE,NA
"SUS_9","UEQ_5",0.366094308425406,"SUS","UEQ_hedonic",FALSE,NA
"SUS_9","UEQ_6",0.358779254876628,"SUS","UEQ_hedonic",FALSE,NA
"SUS_9","UEQ_7",0.295292118965426,"SUS","UEQ_hedonic",FALSE,NA
"SUS_9","UEQ_8",0.256295789937158,"SUS","UEQ_hedonic",FALSE,NA
"SUS_10","UEQ_5",0.176871582621732,"SUS","UEQ_hedonic",FALSE,NA
"SUS_10","UEQ_6",0.20176783246372,"SUS","UEQ_hedonic",FALSE,NA
"SUS_10","UEQ_7",0.119399594328672,"SUS","UEQ_hedonic",FALSE,NA
"SUS_10","UEQ_8",0.0385921656851843,"SUS","UEQ_hedonic",FALSE,NA
"SUS_1","UEQ_1",0.601879024737192,"SUS","UEQ_pragmatic",FALSE,NA
"SUS_1","UEQ_2",0.390506478013119,"SUS","UEQ_pragmatic",FALSE,NA
"SUS_1","UEQ_3",0.593184272005988,"SUS","UEQ_pragmatic",FALSE,NA
"SUS_1","UEQ_4",0.462505150267751,"SUS","UEQ_pragmatic",FALSE,NA
"SUS_2","UEQ_1",0.300705616067256,"SUS","UEQ_pragmatic",FALSE,NA
"SUS_2","UEQ_2",0.498362848621468,"SUS","UEQ_pragmatic",FALSE,NA
"SUS_2","UEQ_3",0.328070793597367,"SUS","UEQ_pragmatic",FALSE,NA
"SUS_2","UEQ_4",0.537107691734228,"SUS","UEQ_pragmatic",FALSE,NA
"SUS_3","UEQ_1",0.451476886339372,"SUS","UEQ_pragmatic",FALSE,NA
"SUS_3","UEQ_2",0.599344869553404,"SUS","UEQ_pragmatic",FALSE,NA
"SUS_3","UEQ_3",0.358469892975222,"SUS","UEQ_pragmatic",FALSE,NA
"SUS_3","UEQ_4",0.554995929950165,"SUS","UEQ_pragmatic",FALSE,NA
"SUS_4","UEQ_1",0.110041245363529,"SUS","UEQ_pragmatic",FALSE,NA
"SUS_4","UEQ_2",0.2643999245781,"SUS","UEQ_pragmatic",FALSE,NA
"SUS_4","UEQ_3",0.107772908053126,"SUS","UEQ_pragmatic",FALSE,NA
"SUS_4","UEQ_4",0.286384394367043,"SUS","UEQ_pragmatic",FALSE,NA
"SUS_5","UEQ_1",0.306021847674865,"SUS","UEQ_pragmatic",FALSE,NA
"SUS_5","UEQ_2",0.287429096379825,"SUS","UEQ_pragmatic",FALSE,NA
"SUS_5","UEQ_3",0.417577731765073,"SUS","UEQ_pragmatic",FALSE,NA
"SUS_5","UEQ_4",0.364859928732048,"SUS","UEQ_pragmatic",FALSE,NA
"SUS_6","UEQ_1",0.289920580866486,"SUS","UEQ_pragmatic",FALSE,NA
"SUS_6","UEQ_2",0.220094610905361,"SUS","UEQ_pragmatic",FALSE,NA
"SUS_6","UEQ_3",0.363036696852057,"SUS","UEQ_pragmatic",FALSE,NA
"SUS_6","UEQ_4",0.248547030011533,"SUS","UEQ_pragmatic",FALSE,NA
"SUS_7","UEQ_1",0.458661377694844,"SUS","UEQ_pragmatic",FALSE,NA
"SUS_7","UEQ_2",0.678073893868425,"SUS","UEQ_pragmatic",FALSE,NA
"SUS_7","UEQ_3",0.359539583734163,"SUS","UEQ_pragmatic",FALSE,NA
"SUS_7","UEQ_4",0.645539359141518,"SUS","UEQ_pragmatic",FALSE,NA
"SUS_8","UEQ_1",0.238116210285361,"SUS","UEQ_pragmatic",FALSE,NA
"SUS_8","UEQ_2",0.305951467456599,"SUS","UEQ_pragmatic",FALSE,NA
"SUS_8","UEQ_3",0.208632883175346,"SUS","UEQ_pragmatic",FALSE,NA
"SUS_8","UEQ_4",0.322575365235291,"SUS","UEQ_pragmatic",FALSE,NA
"SUS_9","UEQ_1",0.506497052076926,"SUS","UEQ_pragmatic",FALSE,NA
"SUS_9","UEQ_2",0.56021283213878,"SUS","UEQ_pragmatic",FALSE,NA
"SUS_9","UEQ_3",0.419924471933436,"SUS","UEQ_pragmatic",FALSE,NA
"SUS_9","UEQ_4",0.608353026205276,"SUS","UEQ_pragmatic",FALSE,NA
"SUS_10","UEQ_1",0.212010332257694,"SUS","UEQ_pragmatic",FALSE,NA
"SUS_10","UEQ_2",0.456156408641722,"SUS","UEQ_pragmatic",FALSE,NA
"SUS_10","UEQ_3",0.106053474761377,"SUS","UEQ_pragmatic",FALSE,NA
"SUS_10","UEQ_4",0.450320048529222,"SUS","UEQ_pragmatic",FALSE,NA
"UEQ_5","UEQ_6",0.762906776292188,"UEQ_hedonic","UEQ_hedonic",TRUE,NA
"UEQ_5","UEQ_7",0.504329494651344,"UEQ_hedonic","UEQ_hedonic",TRUE,NA
"UEQ_5","UEQ_8",0.53155477294103,"UEQ_hedonic","UEQ_hedonic",TRUE,NA
"UEQ_6","UEQ_7",0.538772574256165,"UEQ_hedonic","UEQ_hedonic",TRUE,NA
"UEQ_6","UEQ_8",0.552395001400683,"UEQ_hedonic","UEQ_hedonic",TRUE,NA
"UEQ_7","UEQ_8",0.698030246472715,"UEQ_hedonic","UEQ_hedonic",TRUE,NA
"UEQ_1","UEQ_5",0.541638592390894,"UEQ_pragmatic","UEQ_hedonic",FALSE,NA
"UEQ_1","UEQ_6",0.504320854015435,"UEQ_pragmatic","UEQ_hedonic",FALSE,NA
"UEQ_1","UEQ_7",0.351284640196986,"UEQ_pragmatic","UEQ_hedonic",FALSE,NA
"UEQ_1","UEQ_8",0.319757006289007,"UEQ_pragmatic","UEQ_hedonic",FALSE,NA
"UEQ_2","UEQ_5",0.409569824540353,"UEQ_pragmatic","UEQ_hedonic",FALSE,NA
"UEQ_2","UEQ_6",0.345449441815147,"UEQ_pragmatic","UEQ_hedonic",FALSE,NA
"UEQ_2","UEQ_7",0.322593537140398,"UEQ_pragmatic","UEQ_hedonic",FALSE,NA
"UEQ_2","UEQ_8",0.277452904290405,"UEQ_pragmatic","UEQ_hedonic",FALSE,NA
"UEQ_3","UEQ_5",0.487342722303561,"UEQ_pragmatic","UEQ_hedonic",FALSE,NA
"UEQ_3","UEQ_6",0.445381898682806,"UEQ_pragmatic","UEQ_hedonic",FALSE,NA
"UEQ_3","UEQ_7",0.389803503194753,"UEQ_pragmatic","UEQ_hedonic",FALSE,NA
"UEQ_3","UEQ_8",0.371801494779393,"UEQ_pragmatic","UEQ_hedonic",FALSE,NA
"UEQ_4","UEQ_5",0.467434170117314,"UEQ_pragmatic","UEQ_hedonic",FALSE,NA
"UEQ_4","UEQ_6",0.443967226723025,"UEQ_pragmatic","UEQ_hedonic",FALSE,NA
"UEQ_4","UEQ_7",0.397927312114941,"UEQ_pragmatic","UEQ_hedonic",FALSE,NA
"UEQ_4","UEQ_8",0.315111288784332,"UEQ_pragmatic","UEQ_hedonic",FALSE,NA
"UEQ_1","UEQ_2",0.592583803473539,"UEQ_pragmatic","UEQ_pragmatic",TRUE,NA
"UEQ_1","UEQ_3",0.627552512855741,"UEQ_pragmatic","UEQ_pragmatic",TRUE,NA
"UEQ_1","UEQ_4",0.598350037492105,"UEQ_pragmatic","UEQ_pragmatic",TRUE,NA
"UEQ_2","UEQ_3",0.487293607595775,"UEQ_pragmatic","UEQ_pragmatic",TRUE,NA
"UEQ_2","UEQ_4",0.78842431204902,"UEQ_pragmatic","UEQ_pragmatic",TRUE,NA
