"id","seed","stimulus","P026","P088","P4026A","P022A","P067","P089","P097","P098","P106","P027","P060","P064","P301"
16,1335867889,"Power BI",3,3,5,5,5,5,7,7,6,7,6,7,7
22,994653189,"Tableau",2,2,2,4,3,4,7,6,6,5,6,7,7
28,553357237,"Gephi",5,5,6,6,6,5,5,6,6,7,7,7,7
37,456879119,"Power BI",6,6,7,6,6,7,7,7,6,7,7,NA,7
42,1122402820,"Power BI",6,6,6,7,6,5,7,7,7,6,6,7,7
44,1564399477,"Data Studio",7,7,6,7,6,7,6,7,7,7,7,6,7
46,1615005964,"Tableau",6,6,6,6,5,6,6,6,6,6,6,6,6
55,1093865409,"Power BI",6,5,5,6,6,4,6,7,7,6,5,4,6
58,400273160,"Tally ERP",7,6,7,7,7,7,7,6,6,7,6,7,7
59,1315070696,"Tableau",6,6,5,6,5,7,7,6,6,6,7,7,7
60,874906764,"Power BI",7,7,6,7,6,7,7,7,6,7,7,7,6
61,1359875422,"Power BI",6,6,6,6,6,6,6,6,6,6,6,6,6
62,1403896802,"Power BI",6,6,6,6,5,6,6,5,7,5,5,4,6
63,874843302,"Power BI",6,6,6,6,5,5,7,6,6,7,7,7,7
64,900224914,"Tableau",7,7,7,7,7,7,7,7,7,7,7,7,7
65,1124991437,"Excel",6,6,6,7,6,7,5,6,7,6,6,6,7
66,1140281166,"Tableau",5,5,6,6,6,6,7,6,6,7,6,7,6
70,1396563841,"Power BI",4,4,5,6,6,6,5,5,6,5,5,5,6
80,1883087916,"Power BI",5,4,6,7,6,5,7,6,6,5,6,6,6
83,1741448893,"Power BI",5,6,5,5,6,5,6,6,6,6,5,5,6
84,688255865,"AWS QuickSight",4,6,5,5,4,4,5,6,5,5,7,6,7
86,1318990432,"Power BI",5,5,6,6,6,5,7,7,7,6,6,5,7
88,698819494,"Power BI",5,5,6,5,5,5,5,6,6,6,6,7,6
91,918544591,"Tableau",6,7,7,6,6,7,7,6,7,6,7,7,7
92,553805631,"Power BI",6,6,5,6,5,6,6,6,6,6,6,5,6
95,2110824156,"Power BI",6,6,6,6,6,6,6,6,6,6,7,6,7
96,1803798191,"Power BI",5,4,5,5,4,6,6,6,5,6,6,5,7
98,160325607,"Power BI",6,6,6,6,6,6,6,6,7,7,6,6,7
101,596948835,"Tableau",5,6,6,5,5,5,6,7,7,6,5,6,7
102,381177351,"Power BI",6,6,5,6,6,7,6,6,6,7,7,6,7
107,896039418,"Power BI",5,6,5,5,5,7,6,6,6,6,5,6,7
113,1576002137,"Power BI",5,5,5,6,6,6,6,6,6,6,6,6,6
118,1089403654,"Tableau",6,6,6,6,7,6,6,6,7,7,7,6,6
119,1714315212,"Power BI",6,6,6,7,7,7,7,7,7,7,7,7,7
122,457056357,"Power BI",3,4,2,4,5,4,5,6,6,5,4,3,6
123,1660664264,"Power BI",3,2,2,5,5,4,5,5,5,4,3,5,5
124,1583341806,"Power BI",3,5,3,7,5,7,7,6,6,7,5,3,6
129,2136415170,"Power BI",5,5,5,6,6,7,7,7,7,7,7,7,7
130,2126977592,"Power BI",5,5,5,5,5,6,5,5,6,5,4,5,5
133,85274297,"Power BI",6,6,7,6,6,6,5,6,7,5,6,4,6
136,894914305,"Power BI",6,6,5,7,7,7,7,7,7,6,6,7,5
138,1930997507,"Data Studio",7,6,6,7,7,7,7,7,7,7,7,7,7
145,1530389380,"Power BI",5,6,6,6,6,6,6,6,7,7,6,7,7
146,539459298,"Power BI",6,6,4,6,3,5,4,6,6,6,7,5,7
147,1647639038,"Excel",6,7,7,7,5,7,6,7,7,6,6,4,7
148,1654473888,"Power BI",7,6,6,6,6,6,7,6,7,5,6,4,6
156,1046282114,"Power BI",5,6,6,7,5,6,6,6,6,6,6,7,6
159,1355940705,"Data Studio",5,5,6,5,5,5,5,5,5,5,5,5,5
161,7549886,"Power BI",7,6,6,7,6,7,6,6,7,7,6,6,7
164,1002747943,"Tableau",6,7,6,6,5,6,6,6,6,6,7,7,6
165,1066929673,"Qlik",5,6,4,6,6,7,6,6,7,7,6,7,6
200,529791368,"AWS QuickSight",6,6,7,7,6,6,7,6,7,7,3,6,7
203,1815598325,"Tableau",6,7,4,6,6,6,7,7,7,7,6,6,7
213,248908595,"Data Studio",6,6,6,6,6,6,6,6,6,6,7,5,6
215,600413626,"Tableau",7,6,7,5,6,7,6,6,7,6,6,7,7
218,1486961530,"Data Studio",6,6,6,6,6,6,6,6,6,6,6,5,6
219,1200836915,"Tableau",5,5,4,5,7,6,6,6,6,6,5,6,6
223,1090871892,"JMP",7,7,7,6,6,6,7,7,7,7,7,6,7
224,865186315,"Data Studio",7,6,6,5,6,6,6,7,7,7,7,6,7
236,974692653,"Tableau",5,6,6,7,5,7,6,6,6,6,7,7,7
243,1788360479,"Data Studio",6,5,6,6,6,5,6,6,7,6,6,6,7
253,1870707804,"Datawrapper",6,6,7,6,5,7,6,6,6,6,6,4,6
262,126901897,"Tableau",6,6,6,5,7,6,6,7,6,7,7,7,7
264,796883701,"Tableau",5,5,5,6,6,6,6,6,6,6,6,6,7
268,435668131,"Tableau",5,6,5,6,5,6,5,6,6,5,6,5,6
273,388616482,"Tableau",5,6,4,7,3,6,5,6,7,7,3,5,6
292,1939793210,"Data Studio",6,4,5,5,3,6,7,6,6,6,7,6,5
299,444273974,"Data Studio",5,6,5,7,5,7,7,7,7,6,5,7,7
302,47087977,"Data Studio",5,5,4,5,4,5,4,5,5,4,5,5,5
304,97089834,"Tableau",3,3,4,6,5,5,6,6,7,6,6,5,7
311,579571523,"Data Studio",5,5,5,5,5,5,5,6,6,5,6,6,6
317,1700667087,"Tableau",3,5,6,6,6,7,4,6,5,6,7,7,7
318,1148690733,"Data Studio",6,6,5,5,5,7,5,6,6,4,4,4,5
325,610380954,"JMP",6,7,6,6,6,7,6,6,6,6,7,6,6
327,1872104363,"Tableau",6,7,6,7,7,6,6,7,6,7,7,6,7
330,1611042404,"Tableau",5,5,5,5,6,5,5,6,6,6,5,7,6
334,146944878,"Tableau",6,6,6,6,6,6,6,6,6,6,6,6,6
335,1281578755,"Tableau",6,6,6,7,6,6,6,7,7,6,6,6,7
336,1578823638,"Data Studio",6,6,6,6,5,6,6,6,6,6,5,6,6
341,1521919132,"Data Studio",5,5,5,5,5,6,5,6,6,5,6,5,6
345,221351431,"Gephi",5,5,6,4,4,5,5,5,5,5,6,6,6
350,109466946,"Data Studio",6,6,7,5,7,6,7,7,7,7,7,7,7
355,851076119,"Tableau",5,6,3,7,6,6,7,7,7,6,6,5,7
368,1624392644,"Tableau",6,7,6,7,6,7,7,7,7,6,6,7,7
378,487151470,"Tableau",5,5,5,6,5,6,6,6,6,6,6,7,6
380,1654421527,"Talend",6,6,3,4,3,5,6,5,6,6,7,6,7
392,865736672,"JMP",5,5,6,6,5,6,5,6,7,7,7,6,7
394,1725773382,"Tableau",6,6,5,6,6,6,6,6,7,6,6,5,7
400,1201204871,"zerodha",6,6,6,7,6,6,7,7,7,7,6,7,7
401,216971323,"Data Studio",6,6,6,6,6,6,6,6,6,6,6,6,6
414,1801263926,"Data Studio",6,6,6,6,5,5,5,6,5,5,5,5,5
419,1896443942,"Tableau",5,6,6,6,6,6,7,7,7,6,7,6,6
427,1635515593,"Tableau",6,6,7,6,5,7,7,6,6,7,7,5,6
428,413982115,"JMP",7,7,6,6,7,7,7,7,6,7,7,6,7
451,223782274,"Data Studio",2,4,2,6,7,7,5,7,6,6,6,7,7
452,1221470694,"Data Studio",7,6,6,7,6,7,7,6,6,6,7,6,7
453,807734364,"Data Studio",6,6,7,6,6,6,7,6,6,7,7,6,7
456,758217336,"Tableau",6,6,6,6,6,6,6,6,6,6,6,6,6
460,1369459962,"Tableau",7,7,7,7,7,7,7,7,7,7,7,7,7
469,1381115273,"Data Studio",6,6,6,6,5,6,6,6,6,6,6,5,6
512,894223614,"Data Studio",6,5,5,6,5,6,5,6,6,6,6,7,6
513,189117829,"Data Studio",6,6,6,6,7,7,7,7,7,7,7,7,7
521,2091313258,"Data Studio",6,6,5,6,6,7,7,6,6,7,6,5,7
522,774539036,"Data Studio",6,6,5,6,5,6,6,6,5,6,6,5,6
526,988229469,"Data Studio",6,6,6,6,6,7,7,7,7,7,6,7,7
532,1554223344,"Data Studio",6,6,7,7,6,5,6,6,5,6,7,6,6
542,1374763889,"Data Studio",6,6,5,6,5,6,6,6,7,6,5,5,7
549,1935445942,"Data Studio",7,7,6,7,6,7,7,6,7,7,6,7,6
565,289379089,"Data Studio",5,6,6,5,5,5,6,6,7,6,5,5,6
574,238109360,"Data Studio",6,6,6,6,5,7,5,6,6,6,6,6,7
579,3864603,"Data Studio",5,6,6,6,5,5,5,5,6,7,6,4,5
585,1498811728,"Data Studio",6,6,6,6,6,6,7,7,7,6,6,6,6
594,1890557399,"Data Studio",7,7,7,6,7,7,7,7,6,7,7,7,7
602,211902995,"Data Studio",6,6,4,5,4,5,4,6,6,7,4,5,6
606,1883578984,"Data Studio",6,7,7,6,7,7,6,7,6,6,7,7,7
607,1040020478,"Data Studio",2,2,2,5,4,4,6,7,7,7,3,5,7
610,1547367062,"Data Studio",6,6,5,6,6,6,6,7,7,6,6,5,6
615,1122159794,"Data Studio",6,6,6,6,6,6,6,6,6,6,6,6,6
631,318340710,"Data Studio",6,6,6,6,6,7,6,6,6,6,6,6,6
644,36508745,"Data Studio",7,6,6,6,6,6,6,7,5,6,6,6,7
647,1203480258,"Data Studio",6,6,6,6,5,7,5,7,6,7,7,5,7
655,791843556,"Data Studio",5,5,4,6,5,6,5,5,6,5,5,4,6
707,2137288286,"JMP",6,5,7,6,6,5,6,6,7,6,7,6,7
715,1227942323,"JMP",5,5,5,5,5,5,5,5,5,5,5,5,5
733,2039863733,"JMP",3,4,5,5,4,5,6,7,6,5,6,5,6
737,1945733875,"JMP",3,5,4,5,4,6,6,6,7,5,5,5,6
764,1002741528,"JMP",6,7,6,6,7,7,6,7,7,6,5,6,7
785,2064775461,"JMP",5,3,5,7,7,7,7,7,7,7,5,6,7
799,509094822,"JMP",5,5,5,4,6,6,6,7,7,7,5,5,7
810,2123505160,"JMP",3,5,3,4,4,6,5,7,6,6,5,4,7
823,531938604,"JMP",7,7,6,7,6,7,5,7,6,7,7,7,6
824,1754629784,"JMP",7,7,6,7,6,6,6,6,7,6,6,6,6
842,1951200653,"JMP",7,7,7,7,7,7,7,7,7,7,7,7,7
844,1027312250,"JMP",6,5,6,5,7,6,4,6,6,6,5,4,7
846,2002307349,"JMP",5,5,6,5,5,5,5,6,6,6,5,6,6
848,1065024941,"JMP",6,6,5,5,5,5,5,6,6,5,5,6,6
851,1041499611,"JMP",7,6,6,7,7,7,7,7,7,6,7,7,6
853,823816863,"JMP",6,7,6,7,5,7,6,7,7,7,7,6,7
855,760534085,"JMP",6,6,6,6,6,6,6,6,6,6,6,6,6
856,740673864,"JMP",6,6,5,6,5,7,6,6,6,6,6,7,7
861,234187413,"JMP",7,7,7,7,7,7,7,7,7,7,7,7,7
866,114908223,"JMP",6,6,5,6,4,6,5,6,5,7,6,5,6
868,723167296,"JMP",5,6,5,6,6,6,6,6,6,6,6,6,6
877,1614260584,"JMP",4,5,6,5,5,6,5,6,6,6,6,5,5
907,1694026086,"JMP",4,6,6,6,5,6,6,7,7,6,6,5,7
911,578396068,"JMP",3,5,6,6,6,7,6,7,6,6,6,5,7
915,1470176034,"JMP",6,7,7,7,5,7,6,6,6,7,6,6,7
917,892211894,"JMP",6,7,6,7,7,6,7,6,7,7,7,7,6
949,617056828,"JMP",3,4,4,6,5,4,7,5,6,5,5,6,6
954,1087705069,"JMP",5,5,4,5,6,5,6,6,6,5,5,5,6
958,1763030848,"JMP",4,7,5,4,4,5,5,7,7,7,6,4,7
961,1053269030,"JMP",5,6,6,7,7,7,7,7,7,6,7,7,7
1004,382762375,"JMP",7,6,6,6,6,7,5,6,6,7,6,6,6
1005,1090423504,"JMP",6,6,6,6,6,6,6,6,6,6,6,6,7
1011,251594679,"JMP",5,5,6,6,4,5,7,5,6,6,5,5,5
1021,1173204791,"JMP",7,6,6,4,7,6,6,5,5,7,7,7,7
1033,931819519,"JMP",6,6,6,6,6,6,6,6,6,6,6,6,6
1040,1463523051,"JMP",5,6,5,4,5,4,7,5,NA,4,7,7,7
1078,1284712706,"Excel",3,3,3,6,7,6,5,5,6,5,5,4,6
1079,1657385912,"Excel",7,6,5,7,4,5,6,7,7,7,5,6,7
1081,1537520580,"Excel",7,7,6,7,7,7,7,6,6,7,7,6,7
1084,799717003,"Excel",6,6,6,6,6,7,7,7,6,7,7,6,7
1087,1688850455,"Excel",5,6,4,6,NA,6,5,6,6,6,7,7,7
1090,1950584027,"Excel",5,5,6,6,6,7,7,6,7,6,6,6,6
1091,2144449168,"Excel",5,6,6,5,5,4,5,5,5,6,6,4,6
1092,2129304939,"Excel",6,6,6,7,4,6,7,6,7,6,6,3,7
1094,388308666,"Excel",7,7,6,7,6,7,7,6,7,7,6,7,7
1096,1388935098,"Excel",5,5,5,6,6,7,7,6,6,6,6,6,6
1099,184906911,"Excel",5,6,6,4,5,6,5,6,6,6,7,6,6
1103,718357415,"Excel",6,6,6,6,6,6,6,6,6,6,6,6,6
1104,551554932,"Excel",5,5,4,6,4,6,6,6,5,6,6,4,6
1105,1865131227,"Excel",3,3,4,5,4,5,6,5,6,6,5,6,6
1107,1842593871,"Excel",6,6,6,5,5,6,6,5,6,6,6,5,6
1109,1374822522,"Excel",7,7,7,7,7,7,7,7,7,7,7,7,7
1110,1117509554,"Excel",7,6,7,5,5,6,6,7,7,7,6,6,7
1116,549706751,"Excel",6,4,4,6,7,7,7,7,6,7,5,6,7
1117,259862117,"Excel",6,7,6,6,5,6,7,6,7,7,6,6,7
1118,646517781,"Excel",7,7,7,7,7,7,7,7,7,7,7,7,7
1119,14649853,"Excel",5,5,6,6,4,6,6,6,6,6,5,5,6
1121,232187531,"Excel",7,7,6,7,7,7,7,7,7,7,7,6,7
1122,709666755,"Excel",5,6,7,7,6,7,7,7,7,7,6,6,7
1126,1614216812,"Excel",3,4,3,5,5,6,6,6,6,7,6,5,7
1127,15308611,"Excel",6,7,7,7,6,7,7,6,6,5,6,7,6
1128,580284189,"Excel",7,7,7,7,7,7,7,5,7,7,7,3,7
1129,617695464,"Excel",6,4,5,5,5,6,6,6,6,6,4,4,5
1130,1577465896,"Excel",4,4,5,7,7,7,6,6,6,6,4,3,6
1132,868875017,"Excel",7,6,6,6,5,7,6,6,7,7,5,6,6
1135,1470007809,"Excel",5,3,5,6,4,5,6,6,6,6,6,6,6
