seed,stimulus,UEQ_1,UEQ_2,UEQ_3,UEQ_4,UEQ_5,UEQ_6,UEQ_7,UEQ_8
388616482,Tableau,4,6,5,4,5,5,6,6
1939793210,Data Studio,6,4,5,3,4,7,5,7
444273974,Data Studio,7,5,7,5,4,5,3,3
47087977,Data Studio,5,3,5,5,4,6,4,5
97089834,Tableau,6,5,7,5,4,4,6,5
579571523,Data Studio,6,5,6,6,5,6,5,4
1700667087,Tableau,6,6,6,7,6,5,6,7
1148690733,Data Studio,5,6,6,6,3,4,4,4
610380954,Other,6,6,6,7,7,7,2,7
1872104363,Tableau,6,7,7,6,6,6,7,7
1611042404,Tableau,6,5,5,5,4,6,5,5
146944878,Tableau,6,6,5,5,6,6,6,6
1281578755,Tableau,6,6,6,6,5,6,5,5
1578823638,Data Studio,6,6,6,6,5,5,4,4
1521919132,Data Studio,5,5,5,5,5,5,5,5
221351431,Other,5,3,5,4,6,5,6,6
109466946,Data Studio,6,7,7,6,7,7,7,7
851076119,Tableau,7,6,7,5,4,6,5,6
1624392644,Tableau,7,7,7,7,6,6,5,5
487151470,Tableau,5,3,5,4,7,7,5,7
1654421527,Other,6,6,5,6,6,6,5,5
865736672,Other,6,6,5,5,6,6,5,5
1725773382,Tableau,6,6,6,6,5,6,5,5
1201204871,Other,6,6,7,6,5,6,5,5
216971323,Data Studio,7,7,7,7,5,7,6,5
1801263926,Data Studio,5,5,6,5,5,5,6,6
1896443942,Tableau,7,4,5,4,6,6,5,5
1635515593,Tableau,6,7,6,6,5,6,5,5
413982115,Other,7,7,7,7,6,6,7,4
