id,seed,stimulus,P026,P088,P4026A,P022A,P067,P089,P097,P098,P106,P027,P060,P064,P301,UEQ_1,UEQ_2,UEQ_3,UEQ_4,UEQ_5,UEQ_6,UEQ_7,UEQ_8,SUS_1,SUS_2,SUS_3,SUS_4,SUS_5,SUS_6,SUS_7,SUS_8,SUS_9,SUS_10
24,381776477,Gephi,7,6,5,7,4,6,6,7,6,5,6,6,6,5,2,5,4,6,5,5,5,3,2,4,2,5,3,2,3,4,3
26,1436526393,Tableau,3,5,4,6,5,6,7,6,5,5,7,7,7,5,4,7,5,6,6,7,6,4,1,3,1,5,2,3,2,4,5
27,801069651,Tableau,6,6,6,7,6,7,7,6,7,7,7,7,7,6,4,6,5,6,7,4,4,4,1,4,1,4,1,3,2,4,3
28,1452448240,Tableau,6,6,6,6,7,7,6,7,7,5,6,7,5,5,7,5,6,5,7,4,3,2,1,5,1,4,1,4,2,4,1
32,978948372,Tableau,3,6,6,7,6,6,6,6,6,7,7,7,7,7,6,6,5,6,7,4,1,4,1,4,2,5,2,3,1,4,3
34,1205869978,Tableau,6,2,3,7,3,6,5,7,6,4,6,5,6,6,2,4,3,4,5,6,5,3,4,2,4,3,2,1,4,2,4
37,1339673230,NVivo/SPSS,5,6,5,4,7,5,7,5,7,7,7,3,7,5,5,5,5,2,2,2,2,3,2,4,1,4,2,4,2,4,2
38,1766729781,Tableau,5,6,4,6,6,6,6,7,7,7,6,6,7,7,6,6,6,5,5,3,3,3,2,4,1,4,1,4,1,4,3
39,1200459716,Excel,6,6,6,6,6,6,6,6,6,5,4,5,6,5,5,4,6,1,1,1,1,2,3,4,1,4,2,4,2,4,3
41,2131585415,Power BI,3,5,3,5,5,6,5,6,6,5,3,3,5,5,5,6,4,4,4,4,4,3,3,3,4,4,3,3,3,4,2
42,1294407334,Power BI,6,6,6,6,7,6,6,6,6,6,7,7,6,4,6,7,6,5,5,5,4,5,1,4,1,4,2,4,1,4,2
45,1882719274,Tableau,6,6,6,6,5,6,6,5,6,5,5,4,5,5,6,6,6,5,5,6,3,2,2,4,3,3,3,4,1,4,2
46,997895869,Data Studio,7,6,6,6,6,6,6,6,6,6,6,7,7,7,6,6,6,6,6,5,4,5,5,5,5,5,3,3,3,5,5
48,859134234,Excel,2,2,7,7,3,6,7,6,6,6,5,4,7,3,1,6,4,4,4,1,1,5,2,2,4,5,1,2,3,3,5
51,932944878,PowerBI,5,5,6,6,3,6,6,5,6,7,7,6,7,5,5,5,5,5,5,3,3,5,2,4,2,4,2,4,2,4,2
52,284370096,Tableau,2,3,3,5,7,6,6,7,6,5,5,7,6,4,2,5,2,6,6,4,4,2,4,1,2,3,3,1,3,2,5
54,2143177834,Gephi,3,4,3,7,6,7,7,7,7,7,6,5,7,7,3,7,2,6,6,2,2,5,2,3,1,5,1,2,3,4,3
60,1915820641,Power BI,2,2,2,6,7,7,6,6,6,5,6,6,7,6,3,6,4,6,6,7,5,3,3,2,1,3,2,1,3,4,4
64,1525435672,Tableau,4,3,3,5,6,5,5,5,7,6,6,6,5,4,5,6,3,5,6,7,7,4,3,3,4,5,1,2,2,4,4
66,37513846,Streamlit,6,6,6,7,6,7,6,6,6,6,6,6,7,6,6,5,6,5,6,5,5,5,2,4,2,4,2,4,2,4,2
67,1563334965,Tableau,4,5,4,5,4,6,5,6,5,6,5,5,6,5,5,6,5,6,6,5,4,4,2,3,3,3,2,4,2,4,3
70,368349023,AWS QuickSight,7,7,6,7,5,7,5,7,7,6,5,5,6,6,6,6,5,2,5,2,2,5,2,5,2,4,1,5,1,4,2
74,1748214382,Power BI,7,7,5,6,5,7,6,6,6,6,6,6,7,5,6,7,6,6,6,5,2,4,3,4,3,4,2,5,3,4,2
7,716877815,Power BI,6,5,6,7,6,6,7,6,6,6,5,5,7,6,4,6,6,4,5,6,3,4,2,4,1,4,1,4,1,5,3
14,1845262647,Power BI,6,6,5,6,5,6,6,6,6,6,6,6,7,4,6,6,6,4,4,5,6,3,2,4,3,4,4,2,3,4,4
15,1211989598,Power BI,4,4,3,4,5,5,4,5,5,5,4,5,5,6,4,6,4,5,7,5,5,4,2,3,4,4,2,3,3,4,3
16,1335867889,Power BI,3,3,5,5,5,5,7,7,6,7,6,7,7,6,2,7,3,5,5,6,5,4,4,5,4,4,2,1,4,2,3
22,994653189,Tableau,2,2,2,4,3,4,7,6,6,5,6,7,7,3,2,5,2,5,6,5,5,4,4,2,2,4,2,2,4,3,5
28,553357237,Gephi,5,5,6,6,6,5,5,6,6,7,7,7,7,7,2,6,6,7,7,7,5,5,3,3,2,4,2,1,3,3,5
37,456879119,Power BI,6,6,7,6,6,7,7,7,6,7,7,NA,7,7,7,6,6,6,7,6,6,4,5,4,2,4,3,4,4,5,2
42,1122402820,Power BI,6,6,6,7,6,5,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,5,1,5,1,5,1,5,1,5,1
44,1564399477,Data Studio,7,7,6,7,6,7,6,7,7,7,7,6,7,7,7,6,7,7,7,6,7,5,1,1,2,5,1,4,1,5,1
46,1615005964,Tableau,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,2,4,1,4,2,4,1,4,2
55,1093865409,Power BI,6,5,5,6,6,4,6,7,7,6,5,4,6,7,7,7,5,6,3,1,5,2,1,4,2,5,1,3,1,3,4
58,400273160,Tally ERP,7,6,7,7,7,7,7,6,6,7,6,7,7,7,6,7,7,6,7,4,5,5,3,5,5,5,2,4,3,5,2
59,1315070696,Tableau,6,6,5,6,5,7,7,6,6,6,7,7,7,6,5,7,6,5,3,4,5,5,3,3,3,4,2,4,3,4,5
60,874906764,Power BI,7,7,6,7,6,7,7,7,6,7,7,7,6,7,7,7,7,6,7,7,6,5,1,5,1,5,1,5,1,5,1
61,1359875422,Power BI,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,3,4,3,4,3,4,3,4,4
62,1403896802,Power BI,6,6,6,6,5,6,6,5,7,5,5,4,6,5,6,5,5,4,5,2,2,3,3,4,2,4,2,3,2,3,3
63,874843302,Power BI,6,6,6,6,5,5,7,6,6,7,7,7,7,6,6,6,6,7,7,6,6,5,2,4,2,4,2,4,2,4,3
64,900224914,Tableau,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,1,5,1,5,1,5,1,5,1
65,1124991437,Excel,6,6,6,7,6,7,5,6,7,6,6,6,7,7,7,6,6,7,5,3,2,4,2,5,1,4,2,5,2,5,3
66,1140281166,Tableau,5,5,6,6,6,6,7,6,6,7,6,7,6,7,5,7,5,7,6,5,5,5,1,4,3,5,1,4,4,4,4
70,1396563841,Power BI,4,4,5,6,6,6,5,5,6,5,5,5,6,3,3,3,3,4,5,3,4,3,2,3,2,4,3,2,3,3,3
80,1883087916,Power BI,5,4,6,7,6,5,7,6,6,5,6,6,6,6,4,6,2,3,5,6,4,4,3,3,2,4,2,4,2,4,4
83,1741448893,Power BI,5,6,5,5,6,5,6,6,6,6,5,5,6,6,5,6,6,4,5,4,4,4,2,4,2,4,2,4,2,4,3
84,688255865,AWS QuickSight,4,6,5,5,4,4,5,6,5,5,7,6,7,6,5,5,4,6,6,5,6,5,4,4,4,3,3,4,3,4,5
86,1318990432,Power BI,5,5,6,6,6,5,7,7,7,6,6,5,7,6,4,6,5,4,5,5,5,5,2,4,2,4,1,4,2,4,2
88,698819494,Power BI,5,5,6,5,5,5,5,6,6,6,6,7,6,5,3,4,4,5,5,5,6,3,2,3,3,4,2,3,2,2,4
91,918544591,Tableau,6,7,7,6,6,7,7,6,7,6,7,7,7,7,6,7,7,7,7,6,7,5,4,4,5,5,4,4,5,5,5
92,553805631,Power BI,6,6,5,6,5,6,6,6,6,6,6,5,6,7,7,7,7,7,7,7,7,5,2,5,2,4,2,5,2,4,2
95,2110824156,Power BI,6,6,6,6,6,6,6,6,6,6,7,6,7,6,6,6,6,5,5,5,5,4,2,4,2,4,2,3,2,4,3
96,1803798191,Power BI,5,4,5,5,4,6,6,6,5,6,6,5,7,6,5,6,5,6,6,2,6,2,4,3,3,2,3,2,4,2,2
98,160325607,Power BI,6,6,6,6,6,6,6,6,7,7,6,6,7,6,5,7,6,5,6,6,6,5,2,4,1,5,2,3,2,5,4
101,596948835,Tableau,5,6,6,5,5,5,6,7,7,6,5,6,7,6,6,6,7,7,6,6,6,4,2,5,1,5,2,5,1,5,1
102,381177351,Power BI,6,6,5,6,6,7,6,6,6,7,7,6,7,7,4,7,6,7,7,6,4,5,2,4,3,4,2,3,2,4,4
107,896039418,Power BI,5,6,5,5,5,7,6,6,6,6,5,6,7,6,6,7,6,5,6,5,5,4,2,4,2,4,2,4,2,4,3
113,1576002137,Power BI,5,5,5,6,6,6,6,6,6,6,6,6,6,7,6,7,6,6,7,6,6,4,2,4,3,4,2,3,2,4,3
118,1089403654,Tableau,6,6,6,6,7,6,6,6,7,7,7,6,6,6,6,6,6,5,6,6,6,4,1,4,2,5,1,4,1,5,3
119,1714315212,Power BI,6,6,6,7,7,7,7,7,7,7,7,7,7,7,6,7,6,7,7,6,6,5,2,5,1,5,1,5,1,5,1
122,457056357,Power BI,3,4,2,4,5,4,5,6,6,5,4,3,6,4,3,5,4,3,4,2,3,2,3,2,2,3,2,1,4,3,4
123,1660664264,Power BI,3,2,2,5,5,4,5,5,5,4,3,5,5,5,3,3,2,1,2,2,4,3,4,3,3,3,4,3,3,2,4
124,1583341806,Power BI,3,5,3,7,5,7,7,6,6,7,5,3,6,5,4,7,3,6,5,4,6,2,4,3,4,5,2,1,3,2,5
129,2136415170,Power BI,5,5,5,6,6,7,7,7,7,7,7,7,7,7,6,7,6,5,6,6,6,4,2,4,4,4,2,2,3,4,2
130,2126977592,Power BI,5,5,5,5,5,6,5,5,6,5,4,5,5,5,5,6,5,4,5,6,6,3,4,3,4,4,3,2,3,3,5
133,85274297,Power BI,6,6,7,6,6,6,5,6,7,5,6,4,6,7,6,7,7,4,5,5,6,4,4,5,2,4,1,4,2,4,3
136,894914305,Power BI,6,6,5,7,7,7,7,7,7,6,6,7,5,6,5,6,5,7,7,4,5,5,2,4,2,4,1,3,1,3,3
138,1930997507,Data Studio,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,1,5,2,4,1,4,4,3,2
145,1530389380,Power BI,5,6,6,6,6,6,6,6,7,7,6,7,7,6,5,6,6,7,7,7,6,5,2,4,2,4,2,4,1,5,3
146,539459298,Power BI,6,6,4,6,3,5,4,6,6,6,7,5,7,6,5,7,7,7,7,7,5,4,1,4,3,4,1,3,1,4,1
147,1647639038,Excel,6,7,7,7,5,7,6,7,7,6,6,4,7,6,7,6,7,4,4,4,4,4,1,5,1,4,1,4,1,4,2
148,1654473888,Power BI,7,6,6,6,6,6,7,6,7,5,6,4,6,6,6,6,7,5,7,6,6,4,2,4,2,3,3,4,3,4,4
156,1046282114,Power BI,5,6,6,7,5,6,6,6,6,6,6,7,6,5,5,5,5,3,3,4,4,4,2,5,2,4,2,3,2,4,2
159,1355940705,Data Studio,5,5,6,5,5,5,5,5,5,5,5,5,5,5,4,6,6,6,6,5,4,4,2,4,3,4,2,4,2,4,3
161,7549886,Power BI,7,6,6,7,6,7,6,6,7,7,6,6,7,7,6,7,6,5,6,4,5,5,2,5,1,4,2,4,1,5,3
164,1002747943,Tableau,6,7,6,6,5,6,6,6,6,6,7,7,6,6,6,7,6,6,6,4,5,4,1,4,2,4,1,3,1,4,3
165,1066929673,Qlik,5,6,4,6,6,7,6,6,7,7,6,7,6,6,5,6,7,1,6,6,4,4,2,5,5,4,4,5,3,4,4
200,529791368,AWS QuickSight,6,6,7,7,6,6,7,6,7,7,3,6,7,7,7,7,7,7,7,1,1,5,1,5,1,5,1,5,1,5,5
203,1815598325,Tableau,6,7,4,6,6,6,7,7,7,7,6,6,7,7,7,7,7,6,7,7,7,5,1,5,1,5,1,5,1,5,1
213,248908595,Data Studio,6,6,6,6,6,6,6,6,6,6,7,5,6,5,4,6,5,5,7,5,5,4,1,3,2,3,2,2,2,4,2
215,600413626,Tableau,7,6,7,5,6,7,6,6,7,6,6,7,7,7,6,7,7,7,7,7,7,5,2,4,2,5,1,5,1,5,3
218,1486961530,Data Studio,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,7,4,6,6,3,4,2,4,2,4,2,4,3,4,2
219,1200836915,Tableau,5,5,4,5,7,6,6,6,6,6,5,6,6,5,5,5,3,5,6,4,5,4,2,4,4,4,2,4,2,4,3
223,1090871892,JMP,7,7,7,6,6,6,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,5,1,5,1,5,1,4,1,5,2
224,865186315,Data Studio,7,6,6,5,6,6,6,7,7,7,7,6,7,7,7,6,7,6,6,6,5,4,3,5,5,5,2,4,1,5,2
236,974692653,Tableau,5,6,6,7,5,7,6,6,6,6,7,7,7,5,6,6,5,5,7,6,5,5,1,4,1,4,1,2,1,4,3
243,1788360479,Data Studio,6,5,6,6,6,5,6,6,7,6,6,6,7,6,6,7,6,5,4,4,5,4,1,4,1,5,1,4,1,4,2
253,1870707804,Datawrapper,6,6,7,6,5,7,6,6,6,6,6,4,6,6,6,6,7,5,5,5,2,4,1,5,1,4,2,3,2,4,1
262,126901897,Tableau,6,6,6,5,7,6,6,7,6,7,7,7,7,6,6,6,6,7,7,5,6,4,1,4,1,4,1,4,1,4,2
264,796883701,Tableau,5,5,5,6,6,6,6,6,6,6,6,6,7,6,6,7,6,7,7,6,7,4,2,4,3,4,3,3,4,4,2
268,435668131,Tableau,5,6,5,6,5,6,5,6,6,5,6,5,6,6,5,6,6,5,6,5,5,4,2,4,2,4,2,4,2,4,2
273,388616482,Tableau,5,6,4,7,3,6,5,6,7,7,3,5,6,4,6,5,4,5,5,6,6,4,2,3,2,4,3,2,4,5,5
292,1939793210,Data Studio,6,4,5,5,3,6,7,6,6,6,7,6,5,6,4,5,3,4,7,5,7,4,3,4,5,3,4,3,4,3,4
299,444273974,Data Studio,5,6,5,7,5,7,7,7,7,6,5,7,7,7,5,7,5,4,5,3,3,5,3,4,2,3,2,4,1,5,2
302,47087977,Data Studio,5,5,4,5,4,5,4,5,5,4,5,5,5,5,3,5,5,4,6,4,5,3,2,4,3,3,2,4,2,4,3
304,97089834,Tableau,3,3,4,6,5,5,6,6,7,6,6,5,7,6,5,7,5,4,4,6,5,5,3,4,3,4,2,3,2,4,3
311,579571523,Data Studio,5,5,5,5,5,5,5,6,6,5,6,6,6,6,5,6,6,5,6,5,4,3,3,3,2,3,1,3,2,3,3
317,1700667087,Tableau,3,5,6,6,6,7,4,6,5,6,7,7,7,6,6,6,7,6,5,6,7,4,1,4,3,4,4,5,1,4,3
318,1148690733,Data Studio,6,6,5,5,5,7,5,6,6,4,4,4,5,5,6,6,6,3,4,4,4,3,2,4,3,4,2,3,2,4,3
325,610380954,JMP,6,7,6,6,6,7,6,6,6,6,7,6,6,6,6,6,7,7,7,2,7,5,2,4,1,5,3,2,4,5,1
327,1872104363,Tableau,6,7,6,7,7,6,6,7,6,7,7,6,7,6,7,7,6,6,6,7,7,4,4,5,5,4,4,5,4,4,5
330,1611042404,Tableau,5,5,5,5,6,5,5,6,6,6,5,7,6,6,5,5,5,4,6,5,5,3,3,4,2,4,2,3,2,3,2
334,146944878,Tableau,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,4,2,5,1,4,1,4,1,5,2
335,1281578755,Tableau,6,6,6,7,6,6,6,7,7,6,6,6,7,6,6,6,6,5,6,5,5,4,2,4,2,4,2,4,2,4,2
336,1578823638,Data Studio,6,6,6,6,5,6,6,6,6,6,5,6,6,6,6,6,6,5,5,4,4,4,2,4,2,4,2,4,2,4,2
341,1521919132,Data Studio,5,5,5,5,5,6,5,6,6,5,6,5,6,5,5,5,5,5,5,5,5,4,2,4,2,4,2,4,2,4,2
345,221351431,Gephi,5,5,6,4,4,5,5,5,5,5,6,6,6,5,3,5,4,6,5,6,6,3,4,3,3,4,2,3,3,3,4
350,109466946,Data Studio,6,6,7,5,7,6,7,7,7,7,7,7,7,6,7,7,6,7,7,7,7,5,1,5,1,5,1,4,1,4,1
355,851076119,Tableau,5,6,3,7,6,6,7,7,7,6,6,5,7,7,6,7,5,4,6,5,6,5,3,4,2,4,1,3,2,5,3
368,1624392644,Tableau,6,7,6,7,6,7,7,7,7,6,6,7,7,7,7,7,7,6,6,5,5,5,2,4,2,4,2,4,3,4,2
378,487151470,Tableau,5,5,5,6,5,6,6,6,6,6,6,7,6,5,3,5,4,7,7,5,7,3,3,2,2,3,4,2,3,2,4
380,1654421527,Talend,6,6,3,4,3,5,6,5,6,6,7,6,7,6,6,5,6,6,6,5,5,3,2,4,2,4,2,4,2,4,2
392,865736672,JMP,5,5,6,6,5,6,5,6,7,7,7,6,7,6,6,5,5,6,6,5,5,4,3,4,5,4,3,3,4,4,4
394,1725773382,Tableau,6,6,5,6,6,6,6,6,7,6,6,5,7,6,6,6,6,5,6,5,5,4,2,4,2,4,2,4,2,4,2
400,1201204871,zerodha,6,6,6,7,6,6,7,7,7,7,6,7,7,6,6,7,6,5,6,5,5,5,2,4,1,4,2,4,2,5,3
401,216971323,Data Studio,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,5,7,6,5,5,2,4,2,3,2,5,2,5,3
414,1801263926,Data Studio,6,6,6,6,5,5,5,6,5,5,5,5,5,5,5,6,5,5,5,6,6,4,2,4,4,4,1,4,1,5,3
419,1896443942,Tableau,5,6,6,6,6,6,7,7,7,6,7,6,6,7,4,5,4,6,6,5,5,3,2,3,2,3,1,2,2,3,4
427,1635515593,Tableau,6,6,7,6,5,7,7,6,6,7,7,5,6,6,7,6,6,5,6,5,5,4,2,4,3,4,1,4,3,4,3
428,413982115,JMP,7,7,6,6,7,7,7,7,6,7,7,6,7,7,7,7,7,6,6,7,4,5,1,4,1,5,1,5,1,5,2
451,223782274,Data Studio,2,4,2,6,7,7,5,7,6,6,6,7,7,7,4,5,2,4,7,7,7,5,3,5,4,4,4,2,2,3,4
452,1221470694,Data Studio,7,6,6,7,6,7,7,6,6,6,7,6,7,7,5,7,5,6,6,7,6,4,5,4,5,4,5,4,5,4,5
453,807734364,Data Studio,6,6,7,6,6,6,7,6,6,7,7,6,7,7,6,7,6,7,7,7,7,5,2,4,1,5,1,5,2,5,2
456,758217336,Tableau,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,6,6,7,5,5,1,5,2,4,4,5,1,5,2
460,1369459962,Tableau,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,1,5,5,5,5,5,5,5,1
469,1381115273,Data Studio,6,6,6,6,5,6,6,6,6,6,6,5,6,6,6,6,6,5,5,4,4,4,2,4,2,4,2,4,2,4,2
512,894223614,Data Studio,6,5,5,6,5,6,5,6,6,6,6,7,6,6,5,6,5,6,6,6,5,4,2,4,2,4,2,4,1,4,2
513,189117829,Data Studio,6,6,6,6,7,7,7,7,7,7,7,7,7,7,6,7,6,4,5,5,5,5,1,5,1,5,1,3,1,5,2
521,2091313258,Data Studio,6,6,5,6,6,7,7,6,6,7,6,5,7,6,6,7,7,7,7,6,6,5,1,4,2,4,1,4,1,4,2
522,774539036,Data Studio,6,6,5,6,5,6,6,6,5,6,6,5,6,6,6,6,6,5,6,5,6,5,2,4,5,5,5,5,5,5,5
526,988229469,Data Studio,6,6,6,6,6,7,7,7,7,7,6,7,7,6,6,7,6,6,6,6,6,4,2,4,3,4,2,4,3,3,2
532,1554223344,Data Studio,6,6,7,7,6,5,6,6,5,6,7,6,6,7,7,6,5,7,6,6,5,5,4,4,3,3,4,4,2,4,3
542,1374763889,Data Studio,6,6,5,6,5,6,6,6,7,6,5,5,7,6,5,6,6,4,5,5,5,5,2,4,1,4,1,5,1,4,2
549,1935445942,Data Studio,7,7,6,7,6,7,7,6,7,7,6,7,6,6,6,5,6,6,7,6,6,5,1,4,1,5,1,4,1,5,1
565,289379089,Data Studio,5,6,6,5,5,5,6,6,7,6,5,5,6,6,5,5,5,6,6,7,6,4,1,3,3,4,1,3,2,4,2
574,238109360,Data Studio,6,6,6,6,5,7,5,6,6,6,6,6,7,6,6,5,6,6,5,6,5,4,1,3,1,4,1,4,1,4,1
579,3864603,Data Studio,5,6,6,6,5,5,5,5,6,7,6,4,5,5,6,6,6,6,6,5,6,3,2,4,2,4,2,4,2,4,2
585,1498811728,Data Studio,6,6,6,6,6,6,7,7,7,6,6,6,6,6,6,6,6,5,5,4,4,5,2,5,1,4,2,4,1,5,2
594,1890557399,Data Studio,7,7,7,6,7,7,7,7,6,7,7,7,7,7,7,7,7,7,6,7,6,4,2,5,1,4,4,5,2,5,1
602,211902995,Data Studio,6,6,4,5,4,5,4,6,6,7,4,5,6,6,7,5,6,4,4,3,2,3,2,4,2,3,1,5,2,3,2
606,1883578984,Data Studio,6,7,7,6,7,7,6,7,6,6,7,7,7,7,7,7,7,7,7,7,7,5,1,4,4,5,1,4,3,5,5
607,1040020478,Data Studio,2,2,2,5,4,4,6,7,7,7,3,5,7,6,2,7,1,3,4,1,1,5,5,2,5,3,1,2,3,3,5
610,1547367062,Data Studio,6,6,5,6,6,6,6,7,7,6,6,5,6,6,6,6,6,5,5,5,5,4,2,4,4,5,2,4,1,4,2
615,1122159794,Data Studio,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,5,6,5,6,5,4,2,4,4,4,2,4,2,4,4
631,318340710,Data Studio,6,6,6,6,6,7,6,6,6,6,6,6,6,7,6,6,6,6,7,6,6,4,1,4,1,4,1,4,1,4,1
644,36508745,Data Studio,7,6,6,6,6,6,6,7,5,6,6,6,7,4,3,5,3,6,5,3,5,4,3,4,4,4,4,3,4,4,4
647,1203480258,Data Studio,6,6,6,6,5,7,5,7,6,7,7,5,7,4,6,5,6,4,5,4,4,4,1,5,1,4,2,3,2,4,2
655,791843556,Data Studio,5,5,4,6,5,6,5,5,6,5,5,4,6,6,5,5,6,4,4,3,3,4,2,4,2,4,2,4,2,4,2
707,2137288286,JMP,6,5,7,6,6,5,6,6,7,6,7,6,7,3,2,7,3,5,7,2,6,4,2,2,3,4,1,3,2,3,4
715,1227942323,JMP,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,6,6,4,4,4,2,4,2,4,2,4,2,4,2
733,2039863733,JMP,3,4,5,5,4,5,6,7,6,5,6,5,6,3,6,6,5,4,6,7,5,4,5,4,1,4,2,3,1,4,3
737,1945733875,JMP,3,5,4,5,4,6,6,6,7,5,5,5,6,6,5,5,5,4,6,3,3,3,2,2,3,4,1,4,3,4,2
764,1002741528,JMP,6,7,6,6,7,7,6,7,7,6,5,6,7,7,6,7,6,5,7,6,6,5,1,4,1,5,1,4,1,4,1
785,2064775461,JMP,5,3,5,7,7,7,7,7,7,7,5,6,7,5,6,7,5,4,6,4,3,1,2,4,4,4,2,4,3,2,4
799,509094822,JMP,5,5,5,4,6,6,6,7,7,7,5,5,7,6,5,6,5,4,5,5,5,4,2,4,1,4,2,3,3,3,2
810,2123505160,JMP,3,5,3,4,4,6,5,7,6,6,5,4,7,6,4,5,5,5,4,3,3,3,2,3,2,4,2,3,2,3,2
823,531938604,JMP,7,7,6,7,6,7,5,7,6,7,7,7,6,6,6,7,7,7,7,6,5,5,1,2,1,5,2,4,3,2,2
824,1754629784,JMP,7,7,6,7,6,6,6,6,7,6,6,6,6,6,7,7,7,6,6,5,5,4,1,5,1,4,1,4,1,4,1
842,1951200653,JMP,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,6,5,5,6,6,5,1,5,2,4,1,4,2,5,4
844,1027312250,JMP,6,5,6,5,7,6,4,6,6,6,5,4,7,5,5,6,7,4,6,5,5,3,2,4,3,4,2,4,3,3,4
846,2002307349,JMP,5,5,6,5,5,5,5,6,6,6,5,6,6,6,4,6,5,5,5,6,6,4,3,3,3,4,3,2,3,3,4
848,1065024941,JMP,6,6,5,5,5,5,5,6,6,5,5,6,6,6,5,5,4,6,5,4,5,4,3,3,3,3,3,4,3,4,3
851,1041499611,JMP,7,6,6,7,7,7,7,7,7,6,7,7,6,7,6,6,5,5,6,5,5,4,3,3,3,3,4,4,3,4,4
853,823816863,JMP,6,7,6,7,5,7,6,7,7,7,7,6,7,7,7,7,7,7,7,7,7,5,4,5,2,4,1,3,3,5,1
855,760534085,JMP,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,5,1,5,1,5,1,5,1,5,2
856,740673864,JMP,6,6,5,6,5,7,6,6,6,6,6,7,7,7,6,6,6,5,6,2,2,4,2,3,2,4,2,4,2,4,3
861,234187413,JMP,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,6,7,7,7,4,1,5,2,5,1,5,1,5,5
866,114908223,JMP,6,6,5,6,4,6,5,6,5,7,6,5,6,5,6,6,6,4,5,5,5,3,2,4,2,3,2,4,2,4,3
868,723167296,JMP,5,6,5,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5,5,4,5,4,2,4,4,4,2,3,3,4,2
877,1614260584,JMP,4,5,6,5,5,6,5,6,6,6,6,5,5,5,5,6,4,5,6,4,5,3,2,4,2,4,2,3,3,4,2
907,1694026086,JMP,4,6,6,6,5,6,6,7,7,6,6,5,7,6,5,7,5,3,4,2,3,4,2,4,1,5,1,3,1,3,2
911,578396068,JMP,3,5,6,6,6,7,6,7,6,6,6,5,7,6,4,6,6,5,7,4,5,4,3,4,2,4,3,4,2,5,2
915,1470176034,JMP,6,7,7,7,5,7,6,6,6,7,6,6,7,7,6,7,7,7,6,6,6,4,1,1,4,4,1,5,5,5,4
